instance_id,vanilla_status,tdd_prompt_status,graphrag_status,vanilla_patch_empty,tdd_patch_empty,graphrag_patch_empty,graphrag_loop_abort_reason,graphrag_patch_gate_reason,graphrag_test_signal_reliable,graphrag_indexed_search_used,graphrag_impacted_run,regression_vs_best_baseline,won_by_graph_only
astropy__astropy-12907,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-13033,unresolved,unresolved,unresolved,0,0,0,,ok,False,True,0,0,0
astropy__astropy-13236,unresolved,unresolved,resolved,0,0,0,,ok,False,True,0,0,1
astropy__astropy-13398,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-13453,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-13579,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,0,0,0
astropy__astropy-13977,unresolved,unresolved,unresolved,0,0,0,,ok,False,True,0,0,0
astropy__astropy-14096,empty,empty,unresolved,1,1,0,,ok,False,True,0,0,0
astropy__astropy-14182,unresolved,unresolved,unresolved,0,0,0,,ok,False,True,0,0,0
astropy__astropy-14309,resolved,resolved,resolved,0,0,0,,ok,False,True,0,0,0
astropy__astropy-14365,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-14369,unresolved,empty,unresolved,0,1,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-14508,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,0,0,0
astropy__astropy-14539,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,False,True,80,0,0
astropy__astropy-14598,unresolved,empty,empty,0,1,1,no_edit_progress:16,empty_diff,False,False,0,0,0
astropy__astropy-14995,resolved,resolved,resolved,0,0,0,,ok,False,True,0,0,0
astropy__astropy-7166,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,80,0,0
astropy__astropy-7336,unresolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
astropy__astropy-7606,empty,unresolved,empty,1,0,1,no_diff_streak:12,syntax_compile_failed:astropy/units/core.py,True,False,0,0,0
astropy__astropy-7671,empty,unresolved,empty,1,0,1,,too_many_changed_lines:246_limit_200,True,False,0,0,0
astropy__astropy-8707,empty,unresolved,empty,1,0,1,instance_timeout:1200s,,,,,0,0
astropy__astropy-8872,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,False,True,0,0,0
django__django-10097,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,2,0,0
django__django-10554,empty,empty,empty,1,1,1,no_edit_progress:16,empty_diff;indexed_search_missing_without_unit_test,True,False,0,0,0
django__django-10880,unresolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,0,0
django__django-10914,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-10973,resolved,unresolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-10999,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-11066,resolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
django__django-11087,unresolved,unresolved,unresolved,0,0,0,no_diff_streak:12,ok,True,True,1,0,0
django__django-11095,unresolved,resolved,empty,0,0,1,instance_timeout:1200s,,,,,1,0
django__django-11099,resolved,resolved,resolved,0,0,0,,ok,True,True,0,0,0
django__django-11119,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
django__django-11133,resolved,resolved,resolved,0,0,0,no_diff_streak:12,ok,True,True,0,0,0
